variant,cutoff,model,population,positives,average_precision,ap_ci_lo,ap_ci_hi,precision_at_10,precision_at_20,precision_at_50
headline,2009-01-01,severe_hazard_count,2618,69,0.026355996944232237,0.02100840336134454,0.030614973262032066,0.3,0.25,0.26
headline,2009-01-01,latest_sales_tonnage,2618,69,0.026355996944232237,0.02100840336134454,0.030614973262032066,0.3,0.25,0.26
headline,2009-01-01,efsa_assessment_count,2618,69,0.020793598959662988,0.016810950571834744,0.02614747995855742,0.0,0.05,0.02
headline,2009-01-01,xgboost,2618,69,0.6343325364659191,0.5336225928890834,0.7411438830154461,0.7,0.75,0.78
headline,2010-01-01,severe_hazard_count,3221,82,0.02545793231915554,0.02111145606954362,0.029804408568767465,0.3,0.25,0.26
headline,2010-01-01,latest_sales_tonnage,3221,82,0.02545793231915554,0.02111145606954362,0.029804408568767465,0.3,0.25,0.26
headline,2010-01-01,efsa_assessment_count,3221,82,0.019395337958655758,0.016388230037089366,0.02279916302134778,0.0,0.0,0.02
headline,2010-01-01,xgboost,3221,82,0.6556044613856723,0.5655595097731093,0.7407917199580519,1.0,0.85,0.7
headline,2011-01-01,severe_hazard_count,3846,99,0.09761182161034086,0.07303860744788891,0.12504200341119934,0.2,0.1,0.08
headline,2011-01-01,latest_sales_tonnage,3846,99,0.02574102964118565,0.02158086323452938,0.029641185647425898,0.2,0.15,0.1
headline,2011-01-01,efsa_assessment_count,3846,99,0.02023392324772865,0.017110972321255274,0.023464276751514836,0.0,0.0,0.0
headline,2011-01-01,xgboost,3846,99,0.5864865772288942,0.5099058106753459,0.6797171381663589,0.8,0.7,0.72
headline,2012-01-01,severe_hazard_count,4121,100,0.09615557630271847,0.06888239849403024,0.12297842301204444,0.2,0.1,0.08
headline,2012-01-01,latest_sales_tonnage,4121,100,0.02426595486532395,0.021111380732831836,0.028391167192429023,0.2,0.15,0.1
headline,2012-01-01,efsa_assessment_count,4121,100,0.019144858473562912,0.016744360289870006,0.022268823663413904,0.0,0.0,0.0
headline,2012-01-01,xgboost,4121,100,0.6001372862759585,0.526034623297201,0.6859617602379724,0.5,0.7,0.7
headline,2013-01-01,severe_hazard_count,4451,103,0.09348277523990932,0.07022629994127366,0.1187537198796458,0.2,0.1,0.08
headline,2013-01-01,latest_sales_tonnage,4451,103,0.023140867220849248,0.019310267355650414,0.026735565041563693,0.2,0.15,0.1
headline,2013-01-01,efsa_assessment_count,4451,103,0.018870571492054823,0.015852351079993884,0.022329068969346656,0.0,0.0,0.0
headline,2013-01-01,xgboost,4451,103,0.5950418330191407,0.5282510578526589,0.693309916077327,0.4,0.7,0.76
headline,2014-01-01,severe_hazard_count,4740,107,0.09003909914237608,0.06802789489785364,0.12036569935431317,0.2,0.1,0.08
headline,2014-01-01,latest_sales_tonnage,4740,107,0.02257383966244726,0.0189873417721519,0.02618143459915611,0.2,0.15,0.1
headline,2014-01-01,efsa_assessment_count,4740,107,0.018584113454171693,0.015999268963381177,0.021791264488642992,0.0,0.0,0.02
headline,2014-01-01,xgboost,4740,107,0.5613811129523384,0.4880453007507952,0.6590154244061794,0.5,0.75,0.66
headline,2015-01-01,severe_hazard_count,4928,105,0.08248538592926348,0.06112277071305332,0.10734659286432516,0.1,0.05,0.06
headline,2015-01-01,latest_sales_tonnage,4928,105,0.02130681818181818,0.01825284090909091,0.024756493506493508,0.1,0.1,0.08
headline,2015-01-01,efsa_assessment_count,4928,105,0.017702189617131818,0.01513857028916574,0.0208229696704502,0.0,0.0,0.02
headline,2015-01-01,xgboost,4928,105,0.5542599443242274,0.4746425535602208,0.6413518694507372,0.6,0.75,0.68
headline,2016-01-01,severe_hazard_count,5051,105,0.08413904695722783,0.06285557253849636,0.11210513040092807,0.1,0.05,0.06
headline,2016-01-01,latest_sales_tonnage,5051,105,0.020787962779647593,0.01781825381112651,0.02416353197386656,0.1,0.1,0.08
headline,2016-01-01,efsa_assessment_count,5051,105,0.01749809968526547,0.01527629859116756,0.020797937393103302,0.0,0.0,0.04
headline,2016-01-01,xgboost,5051,105,0.583527375758218,0.5046718763048799,0.6710134496515909,0.7,0.7,0.58
headline,2017-01-01,severe_hazard_count,5268,102,0.08005969685914949,0.05949842448639602,0.10645084148328521,0.1,0.05,0.06
headline,2017-01-01,latest_sales_tonnage,5268,102,0.0193621867881549,0.016884965831435082,0.022029233105542896,0.1,0.1,0.08
headline,2017-01-01,efsa_assessment_count,5268,102,0.017153860525271358,0.014704326455565317,0.021189060613298703,0.0,0.0,0.04
headline,2017-01-01,xgboost,5268,102,0.5672859745141424,0.4934246103802011,0.6553082172731255,0.8,0.7,0.58
headline,2018-01-01,severe_hazard_count,5424,95,0.07688746201787655,0.05687160786914212,0.10521671370087278,0.0,0.0,0.02
headline,2018-01-01,latest_sales_tonnage,5424,95,0.017514749262536874,0.01474004424778761,0.020833333333333332,0.1,0.1,0.08
headline,2018-01-01,efsa_assessment_count,5424,95,0.01649202562366462,0.01376900780891308,0.020785755341207416,0.0,0.0,0.04
headline,2018-01-01,xgboost,5424,95,0.47408659704269474,0.3856800728406754,0.5633205407466412,0.7,0.6,0.48
headline,2019-01-01,severe_hazard_count,5641,84,0.0730149681022753,0.05393927431516217,0.09344103009260535,0.1,0.05,0.02
headline,2019-01-01,latest_sales_tonnage,5641,84,0.01489097677716717,0.012214146427938308,0.017372806240028363,0.1,0.05,0.04
headline,2019-01-01,efsa_assessment_count,5641,84,0.014994201992592318,0.01228364533230689,0.019823052046302976,0.0,0.05,0.04
headline,2019-01-01,xgboost,5641,84,0.4493736695438602,0.3711254256644105,0.5413976971145827,0.7,0.55,0.48
headline,2020-01-01,severe_hazard_count,5720,66,0.05652680652680652,0.03588643309542869,0.08700009407821907,0.1,0.05,0.02
headline,2020-01-01,latest_sales_tonnage,5720,66,0.011538461538461539,0.009431818181818182,0.01381118881118881,0.0,0.0,0.02
headline,2020-01-01,efsa_assessment_count,5720,66,0.011902905814774989,0.008944237582150866,0.017986223701349217,0.0,0.05,0.04
headline,2020-01-01,xgboost,5720,66,0.3840594370811862,0.31599685013768697,0.4977221140815547,0.6,0.35,0.42
headline,2021-01-01,severe_hazard_count,5808,49,0.034908568439112456,0.02147643464043453,0.05121882205614263,0.0,0.05,0.02
headline,2021-01-01,latest_sales_tonnage,5808,49,0.0084366391184573,0.0065426997245179065,0.010347796143250683,0.0,0.0,0.02
headline,2021-01-01,efsa_assessment_count,5808,49,0.007985109347433964,0.0060938249678889255,0.010942015418290256,0.0,0.0,0.02
headline,2021-01-01,xgboost,5808,49,0.24258805648136,0.1967919685831511,0.31714478883808594,0.0,0.15,0.26
headline,2022-01-01,severe_hazard_count,5875,27,0.01498535010457086,0.0067958037568407815,0.03100961634725757,0.0,0.05,0.02
headline,2022-01-01,latest_sales_tonnage,5875,27,0.013009972904873934,0.005929101545752568,0.034818357590459446,0.0,0.0,0.02
headline,2022-01-01,efsa_assessment_count,5875,27,0.005023341784191407,0.003261893481489317,0.009552319057495352,0.0,0.0,0.02
headline,2022-01-01,xgboost,5875,27,0.18579550969360922,0.11917845212492283,0.2968624970984288,0.0,0.1,0.26
