variant,case,cas,cutoff,rank,population
headline,Clothianidin,210880-92-5,2009-01-01,40,2618
headline,Clothianidin,210880-92-5,2010-01-01,10,3221
headline,Clothianidin,210880-92-5,2011-01-01,2,3846
headline,Clothianidin,210880-92-5,2012-01-01,3,4121
headline,Clothianidin,210880-92-5,2013-01-01,26,4451
headline,Clothianidin,210880-92-5,2014-01-01,15,4740
headline,Clothianidin,210880-92-5,2015-01-01,6,4928
headline,Clothianidin,210880-92-5,2016-01-01,1,5051
headline,Clothianidin,210880-92-5,2017-01-01,3,5268
headline,Clothianidin,210880-92-5,2018-01-01,1,5424
headline,Clothianidin,210880-92-5,2019-01-01,1,5641
headline,Thiamethoxam,153719-23-4,2009-01-01,12,2618
headline,Thiamethoxam,153719-23-4,2010-01-01,41,3221
headline,Thiamethoxam,153719-23-4,2011-01-01,39,3846
headline,Thiamethoxam,153719-23-4,2012-01-01,63,4121
headline,Thiamethoxam,153719-23-4,2013-01-01,32,4451
headline,Thiamethoxam,153719-23-4,2014-01-01,8,4740
headline,Thiamethoxam,153719-23-4,2015-01-01,26,4928
headline,Thiamethoxam,153719-23-4,2016-01-01,46,5051
headline,Thiamethoxam,153719-23-4,2017-01-01,8,5268
headline,Thiamethoxam,153719-23-4,2018-01-01,19,5424
headline,Thiamethoxam,153719-23-4,2019-01-01,10,5641
headline,Imidacloprid,138261-41-3,2009-01-01,126,2618
headline,Imidacloprid,138261-41-3,2010-01-01,115,3221
headline,Imidacloprid,138261-41-3,2011-01-01,96,3846
headline,Imidacloprid,138261-41-3,2012-01-01,147,4121
headline,Imidacloprid,138261-41-3,2013-01-01,25,4451
headline,Imidacloprid,138261-41-3,2014-01-01,108,4740
headline,Imidacloprid,138261-41-3,2015-01-01,145,4928
headline,Imidacloprid,138261-41-3,2016-01-01,90,5051
headline,Imidacloprid,138261-41-3,2017-01-01,13,5268
headline,Imidacloprid,138261-41-3,2018-01-01,128,5424
headline,Imidacloprid,138261-41-3,2019-01-01,32,5641
headline,Imidacloprid,138261-41-3,2020-01-01,46,5720
headline,Chlorpyrifos,2921-88-2,2009-01-01,2,2618
headline,Chlorpyrifos,2921-88-2,2010-01-01,113,3221
headline,Chlorpyrifos,2921-88-2,2011-01-01,41,3846
headline,Chlorpyrifos,2921-88-2,2012-01-01,14,4121
headline,Chlorpyrifos,2921-88-2,2013-01-01,24,4451
headline,Chlorpyrifos,2921-88-2,2014-01-01,16,4740
headline,Chlorpyrifos,2921-88-2,2015-01-01,13,4928
headline,Chlorpyrifos,2921-88-2,2016-01-01,23,5051
headline,Chlorpyrifos,2921-88-2,2017-01-01,11,5268
headline,Chlorpyrifos,2921-88-2,2018-01-01,2,5424
headline,Chlorpyrifos,2921-88-2,2019-01-01,2,5641
headline,Chlorpyrifos,2921-88-2,2020-01-01,6,5720
headline,Chlorpyrifos-methyl,5598-13-0,2009-01-01,57,2618
headline,Chlorpyrifos-methyl,5598-13-0,2010-01-01,34,3221
headline,Chlorpyrifos-methyl,5598-13-0,2011-01-01,3,3846
headline,Chlorpyrifos-methyl,5598-13-0,2012-01-01,12,4121
headline,Chlorpyrifos-methyl,5598-13-0,2013-01-01,9,4451
headline,Chlorpyrifos-methyl,5598-13-0,2014-01-01,12,4740
headline,Chlorpyrifos-methyl,5598-13-0,2015-01-01,20,4928
headline,Chlorpyrifos-methyl,5598-13-0,2016-01-01,25,5051
headline,Chlorpyrifos-methyl,5598-13-0,2017-01-01,4,5268
headline,Chlorpyrifos-methyl,5598-13-0,2018-01-01,6,5424
headline,Chlorpyrifos-methyl,5598-13-0,2019-01-01,12,5641
headline,Chlorpyrifos-methyl,5598-13-0,2020-01-01,2,5720
headline,Thiacloprid,111988-49-9,2009-01-01,25,2618
headline,Thiacloprid,111988-49-9,2010-01-01,8,3221
headline,Thiacloprid,111988-49-9,2011-01-01,68,3846
headline,Thiacloprid,111988-49-9,2012-01-01,28,4121
headline,Thiacloprid,111988-49-9,2013-01-01,69,4451
headline,Thiacloprid,111988-49-9,2014-01-01,7,4740
headline,Thiacloprid,111988-49-9,2015-01-01,37,4928
headline,Thiacloprid,111988-49-9,2016-01-01,7,5051
headline,Thiacloprid,111988-49-9,2017-01-01,50,5268
headline,Thiacloprid,111988-49-9,2018-01-01,10,5424
headline,Thiacloprid,111988-49-9,2019-01-01,9,5641
headline,Thiacloprid,111988-49-9,2020-01-01,7,5720
headline,Epoxiconazole,133855-98-8,2009-01-01,73,2618
headline,Epoxiconazole,133855-98-8,2010-01-01,150,3221
headline,Epoxiconazole,133855-98-8,2011-01-01,163,3846
headline,Epoxiconazole,133855-98-8,2012-01-01,181,4121
headline,Epoxiconazole,133855-98-8,2013-01-01,160,4451
headline,Epoxiconazole,133855-98-8,2014-01-01,85,4740
headline,Epoxiconazole,133855-98-8,2015-01-01,144,4928
headline,Epoxiconazole,133855-98-8,2016-01-01,190,5051
headline,Epoxiconazole,133855-98-8,2017-01-01,52,5268
headline,Epoxiconazole,133855-98-8,2018-01-01,153,5424
headline,Epoxiconazole,133855-98-8,2019-01-01,179,5641
headline,Epoxiconazole,133855-98-8,2020-01-01,152,5720
headline,Mancozeb,8018-01-7,2009-01-01,58,2618
headline,Mancozeb,8018-01-7,2010-01-01,16,3221
headline,Mancozeb,8018-01-7,2011-01-01,40,3846
headline,Mancozeb,8018-01-7,2012-01-01,43,4121
headline,Mancozeb,8018-01-7,2013-01-01,42,4451
headline,Mancozeb,8018-01-7,2014-01-01,27,4740
headline,Mancozeb,8018-01-7,2015-01-01,78,4928
headline,Mancozeb,8018-01-7,2016-01-01,12,5051
headline,Mancozeb,8018-01-7,2017-01-01,25,5268
headline,Mancozeb,8018-01-7,2018-01-01,5,5424
headline,Mancozeb,8018-01-7,2019-01-01,25,5641
headline,Mancozeb,8018-01-7,2020-01-01,9,5720
headline,Mancozeb,8018-01-7,2021-01-01,63,5808
headline,Dimethoate,60-51-5,2009-01-01,38,2618
headline,Dimethoate,60-51-5,2010-01-01,107,3221
headline,Dimethoate,60-51-5,2011-01-01,93,3846
headline,Dimethoate,60-51-5,2012-01-01,98,4121
headline,Dimethoate,60-51-5,2013-01-01,80,4451
headline,Dimethoate,60-51-5,2014-01-01,31,4740
headline,Dimethoate,60-51-5,2015-01-01,47,4928
headline,Dimethoate,60-51-5,2016-01-01,79,5051
headline,Dimethoate,60-51-5,2017-01-01,87,5268
headline,Dimethoate,60-51-5,2018-01-01,28,5424
headline,Dimethoate,60-51-5,2019-01-01,8,5641
headline,Propikonazol,60207-90-1,2009-01-01,34,2618
headline,Propikonazol,60207-90-1,2010-01-01,23,3221
headline,Propikonazol,60207-90-1,2011-01-01,87,3846
headline,Propikonazol,60207-90-1,2012-01-01,50,4121
headline,Propikonazol,60207-90-1,2013-01-01,90,4451
headline,Propikonazol,60207-90-1,2014-01-01,99,4740
headline,Propikonazol,60207-90-1,2015-01-01,79,4928
headline,Propikonazol,60207-90-1,2016-01-01,80,5051
headline,Propikonazol,60207-90-1,2017-01-01,88,5268
headline,Propikonazol,60207-90-1,2018-01-01,67,5424
early_warning,Clothianidin,210880-92-5,2009-01-01,35,2618
early_warning,Clothianidin,210880-92-5,2010-01-01,14,3221
early_warning,Clothianidin,210880-92-5,2011-01-01,2,3846
early_warning,Clothianidin,210880-92-5,2012-01-01,6,4121
early_warning,Clothianidin,210880-92-5,2013-01-01,23,4451
early_warning,Clothianidin,210880-92-5,2014-01-01,13,4740
early_warning,Clothianidin,210880-92-5,2015-01-01,4,4928
early_warning,Clothianidin,210880-92-5,2016-01-01,1,5051
early_warning,Clothianidin,210880-92-5,2017-01-01,2,5268
early_warning,Clothianidin,210880-92-5,2018-01-01,1,5424
early_warning,Clothianidin,210880-92-5,2019-01-01,1,5641
early_warning,Thiamethoxam,153719-23-4,2009-01-01,50,2618
early_warning,Thiamethoxam,153719-23-4,2010-01-01,45,3221
early_warning,Thiamethoxam,153719-23-4,2011-01-01,21,3846
early_warning,Thiamethoxam,153719-23-4,2012-01-01,104,4121
early_warning,Thiamethoxam,153719-23-4,2013-01-01,43,4451
early_warning,Thiamethoxam,153719-23-4,2014-01-01,9,4740
early_warning,Thiamethoxam,153719-23-4,2015-01-01,36,4928
early_warning,Thiamethoxam,153719-23-4,2016-01-01,57,5051
early_warning,Thiamethoxam,153719-23-4,2017-01-01,9,5268
early_warning,Thiamethoxam,153719-23-4,2018-01-01,47,5424
early_warning,Thiamethoxam,153719-23-4,2019-01-01,12,5641
early_warning,Imidacloprid,138261-41-3,2009-01-01,98,2618
early_warning,Imidacloprid,138261-41-3,2010-01-01,121,3221
early_warning,Imidacloprid,138261-41-3,2011-01-01,102,3846
early_warning,Imidacloprid,138261-41-3,2012-01-01,149,4121
early_warning,Imidacloprid,138261-41-3,2013-01-01,26,4451
early_warning,Imidacloprid,138261-41-3,2014-01-01,141,4740
early_warning,Imidacloprid,138261-41-3,2015-01-01,165,4928
early_warning,Imidacloprid,138261-41-3,2016-01-01,89,5051
early_warning,Imidacloprid,138261-41-3,2017-01-01,25,5268
early_warning,Imidacloprid,138261-41-3,2018-01-01,95,5424
early_warning,Imidacloprid,138261-41-3,2019-01-01,52,5641
early_warning,Imidacloprid,138261-41-3,2020-01-01,141,5720
early_warning,Chlorpyrifos,2921-88-2,2009-01-01,2,2618
early_warning,Chlorpyrifos,2921-88-2,2010-01-01,117,3221
early_warning,Chlorpyrifos,2921-88-2,2011-01-01,24,3846
early_warning,Chlorpyrifos,2921-88-2,2012-01-01,17,4121
early_warning,Chlorpyrifos,2921-88-2,2013-01-01,49,4451
early_warning,Chlorpyrifos,2921-88-2,2014-01-01,16,4740
early_warning,Chlorpyrifos,2921-88-2,2015-01-01,2,4928
early_warning,Chlorpyrifos,2921-88-2,2016-01-01,39,5051
early_warning,Chlorpyrifos,2921-88-2,2017-01-01,39,5268
early_warning,Chlorpyrifos,2921-88-2,2018-01-01,2,5424
early_warning,Chlorpyrifos,2921-88-2,2019-01-01,5,5641
early_warning,Chlorpyrifos,2921-88-2,2020-01-01,6,5720
early_warning,Chlorpyrifos-methyl,5598-13-0,2009-01-01,62,2618
early_warning,Chlorpyrifos-methyl,5598-13-0,2010-01-01,29,3221
early_warning,Chlorpyrifos-methyl,5598-13-0,2011-01-01,5,3846
early_warning,Chlorpyrifos-methyl,5598-13-0,2012-01-01,11,4121
early_warning,Chlorpyrifos-methyl,5598-13-0,2013-01-01,12,4451
early_warning,Chlorpyrifos-methyl,5598-13-0,2014-01-01,18,4740
early_warning,Chlorpyrifos-methyl,5598-13-0,2015-01-01,29,4928
early_warning,Chlorpyrifos-methyl,5598-13-0,2016-01-01,14,5051
early_warning,Chlorpyrifos-methyl,5598-13-0,2017-01-01,6,5268
early_warning,Chlorpyrifos-methyl,5598-13-0,2018-01-01,7,5424
early_warning,Chlorpyrifos-methyl,5598-13-0,2019-01-01,21,5641
early_warning,Chlorpyrifos-methyl,5598-13-0,2020-01-01,16,5720
early_warning,Thiacloprid,111988-49-9,2009-01-01,33,2618
early_warning,Thiacloprid,111988-49-9,2010-01-01,4,3221
early_warning,Thiacloprid,111988-49-9,2011-01-01,85,3846
early_warning,Thiacloprid,111988-49-9,2012-01-01,30,4121
early_warning,Thiacloprid,111988-49-9,2013-01-01,28,4451
early_warning,Thiacloprid,111988-49-9,2014-01-01,15,4740
early_warning,Thiacloprid,111988-49-9,2015-01-01,13,4928
early_warning,Thiacloprid,111988-49-9,2016-01-01,10,5051
early_warning,Thiacloprid,111988-49-9,2017-01-01,51,5268
early_warning,Thiacloprid,111988-49-9,2018-01-01,13,5424
early_warning,Thiacloprid,111988-49-9,2019-01-01,2,5641
early_warning,Thiacloprid,111988-49-9,2020-01-01,19,5720
early_warning,Epoxiconazole,133855-98-8,2009-01-01,61,2618
early_warning,Epoxiconazole,133855-98-8,2010-01-01,146,3221
early_warning,Epoxiconazole,133855-98-8,2011-01-01,167,3846
early_warning,Epoxiconazole,133855-98-8,2012-01-01,179,4121
early_warning,Epoxiconazole,133855-98-8,2013-01-01,143,4451
early_warning,Epoxiconazole,133855-98-8,2014-01-01,89,4740
early_warning,Epoxiconazole,133855-98-8,2015-01-01,161,4928
early_warning,Epoxiconazole,133855-98-8,2016-01-01,173,5051
early_warning,Epoxiconazole,133855-98-8,2017-01-01,53,5268
early_warning,Epoxiconazole,133855-98-8,2018-01-01,172,5424
early_warning,Epoxiconazole,133855-98-8,2019-01-01,128,5641
early_warning,Epoxiconazole,133855-98-8,2020-01-01,162,5720
early_warning,Mancozeb,8018-01-7,2009-01-01,46,2618
early_warning,Mancozeb,8018-01-7,2010-01-01,12,3221
early_warning,Mancozeb,8018-01-7,2011-01-01,69,3846
early_warning,Mancozeb,8018-01-7,2012-01-01,71,4121
early_warning,Mancozeb,8018-01-7,2013-01-01,77,4451
early_warning,Mancozeb,8018-01-7,2014-01-01,24,4740
early_warning,Mancozeb,8018-01-7,2015-01-01,74,4928
early_warning,Mancozeb,8018-01-7,2016-01-01,19,5051
early_warning,Mancozeb,8018-01-7,2017-01-01,23,5268
early_warning,Mancozeb,8018-01-7,2018-01-01,10,5424
early_warning,Mancozeb,8018-01-7,2019-01-01,7,5641
early_warning,Mancozeb,8018-01-7,2020-01-01,11,5720
early_warning,Mancozeb,8018-01-7,2021-01-01,101,5808
early_warning,Dimethoate,60-51-5,2009-01-01,29,2618
early_warning,Dimethoate,60-51-5,2010-01-01,127,3221
early_warning,Dimethoate,60-51-5,2011-01-01,74,3846
early_warning,Dimethoate,60-51-5,2012-01-01,116,4121
early_warning,Dimethoate,60-51-5,2013-01-01,75,4451
early_warning,Dimethoate,60-51-5,2014-01-01,26,4740
early_warning,Dimethoate,60-51-5,2015-01-01,48,4928
early_warning,Dimethoate,60-51-5,2016-01-01,70,5051
early_warning,Dimethoate,60-51-5,2017-01-01,75,5268
early_warning,Dimethoate,60-51-5,2018-01-01,18,5424
early_warning,Dimethoate,60-51-5,2019-01-01,11,5641
early_warning,Propikonazol,60207-90-1,2009-01-01,19,2618
early_warning,Propikonazol,60207-90-1,2010-01-01,19,3221
early_warning,Propikonazol,60207-90-1,2011-01-01,84,3846
early_warning,Propikonazol,60207-90-1,2012-01-01,38,4121
early_warning,Propikonazol,60207-90-1,2013-01-01,89,4451
early_warning,Propikonazol,60207-90-1,2014-01-01,39,4740
early_warning,Propikonazol,60207-90-1,2015-01-01,22,4928
early_warning,Propikonazol,60207-90-1,2016-01-01,25,5051
early_warning,Propikonazol,60207-90-1,2017-01-01,28,5268
early_warning,Propikonazol,60207-90-1,2018-01-01,59,5424
early_warning,Fluazinam,79622-59-6,2009-01-01,56,2618
early_warning,Fluazinam,79622-59-6,2010-01-01,132,3221
early_warning,Fluazinam,79622-59-6,2011-01-01,158,3846
early_warning,Fluazinam,79622-59-6,2012-01-01,165,4121
early_warning,Fluazinam,79622-59-6,2013-01-01,186,4451
early_warning,Fluazinam,79622-59-6,2014-01-01,155,4740
early_warning,Fluazinam,79622-59-6,2015-01-01,110,4928
early_warning,Fluazinam,79622-59-6,2016-01-01,184,5051
early_warning,Fluazinam,79622-59-6,2017-01-01,192,5268
early_warning,Fluazinam,79622-59-6,2018-01-01,141,5424
early_warning,Fluazinam,79622-59-6,2019-01-01,122,5641
early_warning,Fluazinam,79622-59-6,2020-01-01,171,5720
early_warning,Fluazinam,79622-59-6,2021-01-01,169,5808
early_warning,Fluazinam,79622-59-6,2022-01-01,250,5875
early_warning,Fluazinam,79622-59-6,2023-01-01,206,5933
early_warning,Fluazinam,79622-59-6,2024-01-01,111,5974
