variant,cutoff,population,positives,base_rate,xgboost_ap,best_trivial_ap
headline,2020-01-01,5720,66,0.011538,0.384059,0.056527
headline,2021-01-01,5808,49,0.008437,0.242588,0.034909
headline,2022-01-01,5875,27,0.004596,0.185796,0.014985
headline,2023-01-01,5933,25,0.004214,0.25419,0.01611
headline,2024-01-01,5974,19,0.00318,0.187526,0.018406
early_warning,2020-01-01,5720,72,0.012587,0.38507,0.059377
early_warning,2021-01-01,5808,55,0.00947,0.244467,0.038406
early_warning,2022-01-01,5875,33,0.005617,0.193457,0.040081
early_warning,2023-01-01,5933,31,0.005225,0.223474,0.036533
early_warning,2024-01-01,5974,25,0.004185,0.145666,0.050844
